path,dimensions,bytes,sha256
creatives/02_Meta_14-Day-Tour/TOF_v2/13-minimal-taieri-1-1.png,1080x1080,2667384,8fefdb84e99edcf257199d1370f83fd789e52ac487f33f1813d23a8ee4cf93cf
creatives/02_Meta_14-Day-Tour/TOF_v2/14-minimal-mainlander-1-1.png,1080x1080,2079894,32c7b8c247ed4cf6905d8abddc5f8b87938f4c198fcc609239163e2b6017945a
creatives/02_Meta_14-Day-Tour/TOF_v2/15-minimal-coastal-1-1.png,1080x1080,1247908,06fb566a70ed23f35f5bc925ab0200b815e00a6e216aba1fce1a594f86a260d9
creatives/02_Meta_14-Day-Tour/TOF_v1/01-hero-super-6-1-1.png,1080x1080,1984023,ce2f178725220085d228e1f95f697a1b45a86c822085a38432a51007e2280073
creatives/02_Meta_14-Day-Tour/TOF_v1/02-super-6-grid-1-1.png,1080x1080,998713,af75a406b0d059e0fce00c823f0f272c17e757fa291c49fa53b43a81fd03017f
creatives/02_Meta_14-Day-Tour/TOF_v1/03-stat-split-1-1.png,1080x1080,1701990,1c5413c06d7af525baf0ccf09d06ceccf08854205c8f67db992188e5e513aba0
creatives/02_Meta_14-Day-Tour/TOF_v1/04-hillary-heritage-1-1.png,1080x1080,1819194,301cf2851d461e01e6a15a46951eef82f3125a8cd4d5642f89c39a1f1e5dd7f1
creatives/02_Meta_14-Day-Tour/TOF_v1/05-coastal-pacific-1-1.png,1080x1080,1172168,b0b2fc802b8e06aee362e7b53c70c5279e8056e774ebb5a690daeccc358f5067
creatives/02_Meta_14-Day-Tour/TOF_v1/06-tranzalpine-1-1.png,1080x1080,1831458,9062bf9a8bc9017be883b12a2c723f1e3329ae81c6e962a74dc5f57866919a12
creatives/02_Meta_14-Day-Tour/TOF_v1/07-departures-1-1.png,1080x1080,1390892,e31ae733c6c06226a0f9817bf185ca02a70b13773197f04f02aa86efc329bb14
creatives/02_Meta_14-Day-Tour/TOF_v1/08-brand-quote-1-1.png,1080x1080,1425898,99b2a55736c321e055451d7df00a2de9722d235e63dc7048d9ebd9790bb972b0
creatives/02_Meta_14-Day-Tour/TOF_v1/09-the-mainlander-1-1.png,1080x1080,1940288,b2bb56e12734a804324d1e5cdc1408e71668de897f151c477a5f462e764ad4ea
creatives/02_Meta_14-Day-Tour/TOF_v1/10-taieri-gorge-1-1.png,1080x1080,2167960,a901498ef88a02ebc3f7b10b990b5a8da95b82fbe2aef264409144e1fc53a52e
creatives/02_Meta_14-Day-Tour/TOF_v1/11-kingston-flyer-1-1.png,1080x1080,1272212,e30812500948ef149bb845a1978accb2d02688daf30deb144943ac29c2303547
creatives/02_Meta_14-Day-Tour/TOF_v1/12-aoraki-hero-1-1.png,1080x1080,1670239,e6b7845ec34152c4bdf47c72a14d570b770d0cbfec98339de57374b567939566
creatives/02_Meta_14-Day-Tour/TOF_v1/13-award-winning-1-1.png,1080x1080,1417635,da8ae6e105cd6b9aafd5d1501d9bf863eb3280a441ed609d281f5a2895a16079
creatives/02_Meta_14-Day-Tour/TOF_v1/14-walter-peak-1-1.png,1080x1080,1917623,91003171cdf2656c2a5374627701a24c23225702e6a842826681b50b26e2a340
creatives/02_Meta_14-Day-Tour/TOF_v1/15-hero-1-1.png,1080x1080,1983836,1da9b5eeca4393e188dacc9e6a824d58a3f90f9292994a9b5d8ffbe01a061e29
creatives/02_Meta_14-Day-Tour/MOF/01-inclusions-1-1.png,1080x1080,131510,3750b99cdaeef03aa633612f4efc4f105be2f8fcedf6290d576ce689b9bd0b95
creatives/02_Meta_14-Day-Tour/MOF/02-price-value-1-1.png,1080x1080,1136567,0ebd9b10342bf09cb65e0f8fcabdc69847ca5804198b20b5e8b0d90f414e6b0d
creatives/02_Meta_14-Day-Tour/MOF/03-deposit-confidence-1-1.png,1080x1080,760898,2d60dc6e3f01461abc92f9d3b4e427c18b6c8d13b2ddbe7046b2cf1358086f60
creatives/02_Meta_14-Day-Tour/MOF/04-brochure-1-1.png,1080x1080,371338,c902fd0c53df4a72b24e07faea21e54cdb2e68b45f48a095a01e94b2e877a21d
creatives/02_Meta_14-Day-Tour/MOF/05-departures-1-1.png,1080x1080,1390892,e31ae733c6c06226a0f9817bf185ca02a70b13773197f04f02aa86efc329bb14
creatives/02_Meta_14-Day-Tour/MOF/06-why-guided-1-1.png,1080x1080,1278290,8bd389419fe8658ca383c5672dd0a301ed74c85e02be09551b1b47f3d7ee38b3
creatives/02_Meta_14-Day-Tour/MOF/07-guest-review-1-1.png,1080x1080,1331477,274669203cd94bb90e5167490522e2d95e29fbe4db83054a92886033f34c9200
creatives/02_Meta_14-Day-Tour/MOF/08-super-6-included-1-1.png,1080x1080,998713,af75a406b0d059e0fce00c823f0f272c17e757fa291c49fa53b43a81fd03017f
creatives/02_Meta_14-Day-Tour/MOF/09-route-map-1-1.png,1080x1080,171718,6a0d3e3171da34bc0b4b8ec453717717d0b35ffc09380fa1bc3ba37893201f70
creatives/02_Meta_14-Day-Tour/MOF/10-expert-led-1-1.png,1080x1080,1169752,b839a4275b25b993891dc28c864975bd8e66093a24c61593592d61dc76ee143a
creatives/02_Meta_14-Day-Tour/MOF/11-still-considering-1-1.png,1080x1080,1299038,2b457373044f9699563119bee59f2883fac3212dbd42f6d50483cfdd1ec2fc56
creatives/02_Meta_14-Day-Tour/MOF/12-accommodation-1-1.png,1080x1080,1937091,ed7d6d8292d9ae4149f2e98c7c114081989735cb64d0ad46df2944d66fddf8c4
creatives/02_Meta_14-Day-Tour/MOF/13-value-price-1-1.png,1080x1080,1136567,0ebd9b10342bf09cb65e0f8fcabdc69847ca5804198b20b5e8b0d90f414e6b0d
creatives/02_Meta_14-Day-Tour/MOF/14-brand-quote-1-1.png,1080x1080,1425898,99b2a55736c321e055451d7df00a2de9722d235e63dc7048d9ebd9790bb972b0
creatives/02_Meta_14-Day-Tour/MOF/15-this-time-next-year-1-1.png,1080x1080,1990376,f8c2c71efc077a92d6562c545ca0ecfd7bc3eaccf175079f8dbea985e7519b9b
creatives/03_Google_PMax/01_Journeys_Asset_Group/L1-tranzalpine-viaduct.png,1200x628,1411865,2632d3d779634784230ac2e03093c3869d391a6442a8b273572587eae70af591
creatives/03_Google_PMax/01_Journeys_Asset_Group/L2-coastal-pacific.png,1200x628,894863,f7598cc27f44595edb7ea038b575a58a0f836c484c15be41762d77686f34f531
creatives/03_Google_PMax/01_Journeys_Asset_Group/L3-seasons-split.png,1200x628,1223181,2d1d58477f84b690487b658003f77bf3f3fc0968aae76f0b88687b5c6ab62d0b
creatives/03_Google_PMax/01_Journeys_Asset_Group/L4-taieri-aerial-clean.png,1200x628,1363666,f203ba0734ea346c071b613cf58f467451e38d239d4835dcef08db86184823d6
creatives/03_Google_PMax/01_Journeys_Asset_Group/P1-taieri-gorge.png,960x1200,2597869,00b6a0bb1be438cd1eba560be46d5c1d290b2c9b3a5a742cf964ccb6c7ce030f
creatives/03_Google_PMax/01_Journeys_Asset_Group/P2-mainlander.png,960x1200,2005614,68e1686060a0c99d4bd48891c08becaeb95076405f6d1244aec65aa1c17a4596
creatives/03_Google_PMax/01_Journeys_Asset_Group/P3-coastal-clean.png,960x1200,1166092,36a100ccf1208f35d348165d8bb502b3a4e9ed360da3b89c8622b40de0516d01
creatives/03_Google_PMax/01_Journeys_Asset_Group/S1-rail-and-coach.png,1200x1200,2502421,313e76c63d2da569b033ef26c0ce15f25e0d268c099630cedd958d31b2df7be3
