expected_in_original_zip,expected_path,set,file,source_file,component,expected_size,delivered_size,images_in_creative,all_images_decoded,font_families_used,status,identical_by_source_to,sha256
yes,03_Google_PMax/01_Journeys_Asset_Group/S1-rail-and-coach.png,03_Google_PMax/01_Journeys_Asset_Group,S1-rail-and-coach.png,pmax.jsx,S1-rail-and-coach,1200x1200,1200x1200,4,True,DM Sans + Lora,delivered,,313e76c63d2da569b033ef26c0ce15f25e0d268c099630cedd958d31b2df7be3
yes,03_Google_PMax/01_Journeys_Asset_Group/S2-winter-journeys.png,03_Google_PMax/01_Journeys_Asset_Group,S2-winter-journeys.png,pmax.jsx,S2-winter-journeys,1200x1200,1200x1200,4,True,DM Sans + Lora,delivered,,bb0f8def11bdb0cb27165f5e5586f94d9b564309c965af832090c802d4f06aca
yes,03_Google_PMax/01_Journeys_Asset_Group/S3-heritage-steam.png,03_Google_PMax/01_Journeys_Asset_Group,S3-heritage-steam.png,pmax.jsx,S3-heritage-steam,1200x1200,1200x1200,4,True,DM Sans + Lora,delivered,,5f59470f5bd4f1fbb7b3fe83e27494b91bcc86a9b52d8a0474f5ee391411d05f
yes,03_Google_PMax/01_Journeys_Asset_Group/S4-alpine-clean.png,03_Google_PMax/01_Journeys_Asset_Group,S4-alpine-clean.png,pmax.jsx,S4-alpine-clean,1200x1200,1200x1200,4,True,(image only),delivered,,52086f3ba77cc4b687f7e437a2c8a69aa3ad2518ff9398803d4c19f9d3caa938
yes,03_Google_PMax/01_Journeys_Asset_Group/P1-taieri-gorge.png,03_Google_PMax/01_Journeys_Asset_Group,P1-taieri-gorge.png,pmax.jsx,P1-taieri-gorge,960x1200,960x1200,4,True,DM Sans + Lora,delivered,,00b6a0bb1be438cd1eba560be46d5c1d290b2c9b3a5a742cf964ccb6c7ce030f
yes,03_Google_PMax/01_Journeys_Asset_Group/P2-mainlander.png,03_Google_PMax/01_Journeys_Asset_Group,P2-mainlander.png,pmax.jsx,P2-mainlander,960x1200,960x1200,4,True,DM Sans + Lora,delivered,,68e1686060a0c99d4bd48891c08becaeb95076405f6d1244aec65aa1c17a4596
yes,03_Google_PMax/01_Journeys_Asset_Group/P3-coastal-clean.png,03_Google_PMax/01_Journeys_Asset_Group,P3-coastal-clean.png,pmax.jsx,P3-coastal-clean,960x1200,960x1200,4,True,(image only),delivered,,36a100ccf1208f35d348165d8bb502b3a4e9ed360da3b89c8622b40de0516d01
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/L1-aoraki-heritage.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,L1-aoraki-heritage.png,pmax.jsx,L1-aoraki-heritage,1200x628,1200x628,3,True,DM Sans + Lora,delivered,,224d9b5ba5f124cf438be75f4684f813140d4a19cf3364490b0f5dbf2e2af900
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/L2-real-guests.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,L2-real-guests.png,pmax.jsx,L2-real-guests,1200x628,1200x628,4,True,DM Sans + Lora,delivered,,90937bf1bca2b72fd3f502e0057591e6b7902af1297be14ba4f7e940b6c69ec7
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/L3-earnslaw-calm.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,L3-earnslaw-calm.png,pmax.jsx,L3-earnslaw-calm,1200x628,1200x628,4,True,DM Sans + Lora,delivered,,fc5966b2728635aa56b6a2865e09132614fa6dce92617655d7ec5cb4cafcd6de
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/L4-awards-card.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,L4-awards-card.png,pmax.jsx,L4-awards-card,1200x628,1200x628,2,True,DM Sans + Lora,delivered,,a755a2c449d345a86f566e7179f59f169bb5e5ac5a385c70e36f724e827dfd7d
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/S1-awards-card.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,S1-awards-card.png,pmax.jsx,S1-awards-card,1200x1200,1200x1200,2,True,DM Sans + Lora,delivered,,045b04db7b391bf48ba898ef2a4ac62b2cfed7b60732461cc1cf8e6cc516c9a7
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/S2-trustpilot-review.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,S2-trustpilot-review.png,pmax.jsx,S2-trustpilot-review,1200x1200,1200x1200,3,True,DM Sans + Lora,delivered,,8124c2a9e75cea9075f07269bf5cda963e3f333f420a8da39cb84048b129109a
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/S3-aoraki-hero.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,S3-aoraki-hero.png,pmax.jsx,S3-aoraki-hero,1200x1200,1200x1200,3,True,DM Sans + Lora,delivered,,a0e9c16b95dd74e69d5d3f82f43e7fc4614dc57470ed736da9660264e443f401
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/S4-guests-window.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,S4-guests-window.png,pmax.jsx,S4-guests-window,1200x1200,1200x1200,4,True,(image only),delivered,,2fc64f954e84f56e2e114ab5801b577d0d5c2ff5e3e1cae2e90f9ee6a925146f
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/P1-heritage.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,P1-heritage.png,pmax.jsx,P1-heritage,960x1200,960x1200,3,True,DM Sans + Lora,delivered,,0a145cb949547c882b000297877b916955e9064d3630461384a67ec68029d06f
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/P2-guests.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,P2-guests.png,pmax.jsx,P2-guests,960x1200,960x1200,4,True,DM Sans + Lora,delivered,,b7d4c8b9c9a118ed75834bf5fda05306ba1834e9e772c38de2b3ad7a75b7386e
yes,03_Google_PMax/02_Brand_Homepage_Asset_Group/P3-hero-clean.png,03_Google_PMax/02_Brand_Homepage_Asset_Group,P3-hero-clean.png,pmax.jsx,P3-hero-clean,960x1200,960x1200,4,True,(image only),delivered,,575945ee626d08f5dc0ea28eb9ca2e2442f63dbe4f5dcf22adb605c52537e409
yes,03_Google_PMax/03_Logos/logo-square-navy-on-white.png,03_Google_PMax/03_Logos,logo-square-navy-on-white.png,pmax.jsx,logo-square-navy-on-white,1200x1200,1200x1200,1,True,(image only),delivered,,ad6f6f3a22b44a9574c0a60bc8ab57b8bfc398a5b24881b0b8bc5ccc59375d5f
yes,03_Google_PMax/03_Logos/logo-square-white-on-navy.png,03_Google_PMax/03_Logos,logo-square-white-on-navy.png,pmax.jsx,logo-square-white-on-navy,1200x1200,1200x1200,1,True,(image only),delivered,,d68623b364ad50e0367d24b94faccd7b16ed7c4df55086e216e0ca26d666a70d
yes,03_Google_PMax/03_Logos/logo-landscape-4x1.png,03_Google_PMax/03_Logos,logo-landscape-4x1.png,pmax.jsx,logo-landscape-4x1,1200x300,1200x300,1,True,DM Sans + Lora,delivered,,88f5d156a66fb350b66e550f168f75e7a006160ac9892c027834a9ffad73cb75
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/01_Brand_TOF_Feed_extra,14-sail-steam-and-steel.png,ad-creatives.jsx (listed in app.jsx only),CreativeWalterPeak,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,52ee9ebde99ffec4a5d5d781bcab37dcc26b23e7c35a4b944ad3b0f50b48a975
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-01-inclusions.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofInclusions,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,61f73449185462ae2e00f24c8111785bc3e409e864b5c9193d6eea2034cd2940
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-02-booking-confidence.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofBooking,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,687a62b043a8c7e0a2c2f3941bcb15f077e1c333ea21d904fca49b70662c4434
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-03-brochure.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofBrochure,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,8f1cdb840bec93a269f2f9820f558abebc3a8cb2eb3bb2f4489211ead02c1aa1
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-04-still-considering.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofConsidering,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,47eff244017f78d5b9b0eb9c0a53dbcd48df704ec8da001719bb24c8f914fa5b
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-05-why-guided.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofWhyGuided,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,ce68145e6d3d4108e9ae796fd8bb16e77a422a3143adb1def0ea094dfdbbcbfe
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL,mof-06-guest-review.png,ad-creatives.jsx (listed in app.jsx only),CreativeMofReview,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,36f292fc247171e2d405e0bd66499b985359445ac1edb34ab62ef9253dd855b7
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-01-inclusions.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2Inclusions,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,e9bcc93a92339e93b2c7cecf0fbd7cc9fa619e0a7ea65a8134e60fefb62ce08c
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-02-booking-confidence.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2Booking,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,9c9b84dc0367abd344443141fa3daa15cff9f6fd11599ecb710e38b6edc7c2a5
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-03-brochure.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2Brochure,1080x1350,1080x1350,4,True,DM Sans + Lora,delivered,,5e8abee557b20da0be3d5058c210ef5a4b0f82543d37333e0b97a06c5c4acc76
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-04-need-help-choosing.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2Considering,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,d1c3d6bdafae52d1bad342f12b15f3a8fd34825c0b733d5237fb3843b221ff19
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-05-arrive-without-a-bag.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2WhyGuided,1080x1080,1080x1080,4,True,DM Sans + Lora,delivered,,72f932c26f1c6ab03e5122dcf6ecf821bfa5f2a8ded4a93f207f64e9f5528ffb
no (canvas-only extra),,04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL,mof2-06-value-and-proof.png,ad-creatives.jsx (listed in app.jsx only),CreativeMof2Value,1080x1350,1080x1350,3,True,DM Sans + Lora,delivered,,940fc74c11ef754ac8a9050bf05511aaa22a5f52a69bd8751cf8daa081aaafe4
